Start,End,Speaker,Start in s,End in s,Duration in s
0:19:55.033956,0:19:59.668930,SPEAKER_01,1195.0339558573855,1199.6689303904923,4.6349745331067425
0:19:59.991511,0:20:09.159593,SPEAKER_01,1199.9915110356537,1209.1595925297115,9.168081494057787
0:20:10.483871,0:20:13.319185,SPEAKER_01,1210.483870967742,1213.319185059423,2.8353140916810844
0:20:14.864177,0:20:26.256367,SPEAKER_01,1214.8641765704583,1226.2563667232598,11.392190152801504
0:20:27.410866,0:20:33.471986,SPEAKER_01,1227.4108658743635,1233.4719864176573,6.061120543293782
0:20:36.290323,0:20:56.205433,SPEAKER_07,1236.2903225806454,1256.2054329371817,19.91511035653639
0:20:58.378608,0:21:00.942275,SPEAKER_12,1258.3786078098474,1260.942275042445,2.563667232597709
0:21:01.570458,0:21:02.640068,SPEAKER_12,1261.570458404075,1262.640067911715,1.0696095076400525
0:21:03.302207,0:21:06.086587,SPEAKER_12,1263.30220713073,1266.086587436333,2.7843803056030083
0:21:07.835314,0:21:09.193548,SPEAKER_12,1267.835314091681,1269.193548387097,1.3582342954159685
0:21:09.550085,0:21:15.067912,SPEAKER_12,1269.5500848896436,1275.067911714771,5.517826825127486
0:21:18.378608,0:21:22.724958,SPEAKER_01,1278.3786078098474,1282.7249575551782,4.346349745330826
0:21:23.234295,0:21:38.870968,SPEAKER_01,1283.2342954159594,1298.8709677419356,15.636672325976178
0:21:41.230900,0:21:47.054329,SPEAKER_01,1301.230899830221,1307.054329371817,5.823429541595942
0:21:48.599321,0:21:56.918506,SPEAKER_01,1308.5993208828522,1316.9185059422753,8.319185059423035
0:21:58.089983,0:22:02.996604,SPEAKER_01,1318.0899830220715,1322.9966044142616,4.906621392190118
0:22:03.709677,0:22:07.903226,SPEAKER_01,1323.709677419355,1327.9032258064517,4.193548387096598
0:22:08.140917,0:22:12.266553,SPEAKER_01,1328.1409168081495,1332.2665534804755,4.125636672325982
0:22:13.166384,0:22:17.903226,SPEAKER_01,1333.1663837011884,1337.9032258064517,4.736842105263349
0:22:19.651952,0:22:42.470289,SPEAKER_07,1339.6519524617997,1362.4702886247878,22.81833616298809
0:22:43.556876,0:22:47.971138,SPEAKER_12,1363.5568760611204,1367.9711375212223,4.414261460101898
0:22:48.514431,0:22:50.653650,SPEAKER_12,1368.514431239389,1370.6536502546692,2.139219015280105
0:22:50.942275,0:22:54.168081,SPEAKER_12,1370.942275042445,1374.1680814940578,3.225806451612698
0:22:55.458404,0:22:57.988115,SPEAKER_12,1375.4584040747031,1377.9881154499153,2.529711375212173
0:22:58.820034,0:23:01.230900,SPEAKER_12,1378.8200339558575,1381.230899830221,2.4108658743634805
0:23:01.893039,0:23:04.185059,SPEAKER_12,1381.893039049236,1384.1850594227503,2.292020373514333
0:23:04.439728,0:23:08.769100,SPEAKER_12,1384.4397283531412,1388.7691001697794,4.329371816638286
0:23:10.602716,0:23:12.962649,SPEAKER_12,1390.602716468591,1392.962648556876,2.3599320882849497
0:23:15.152801,0:23:16.511036,SPEAKER_12,1395.1528013582342,1396.5110356536502,1.3582342954159685
0:23:17.275042,0:23:18.191851,SPEAKER_12,1397.2750424448218,1398.1918505942276,0.9168081494058242
0:23:19.380306,0:23:20.365025,SPEAKER_12,1399.3803056027164,1400.3650254668933,0.9847198641768955
0:23:20.483871,0:23:22.028862,SPEAKER_12,1400.483870967742,1402.0288624787777,1.5449915110357324
0:23:25.797963,0:23:29.006791,SPEAKER_12,1405.7979626485571,1409.0067911714773,3.2088285229201574
0:23:31.061121,0:23:33.387097,SPEAKER_02,1411.0611205432938,1413.3870967741937,2.325976230899869
0:23:34.015280,0:23:35.135823,SPEAKER_02,1414.0152801358236,1415.1358234295417,1.1205432937181286
0:23:35.560272,0:23:37.461800,SPEAKER_02,1415.5602716468593,1417.4617996604416,1.901528013582265
0:23:38.853990,0:23:40.738540,SPEAKER_02,1418.853989813243,1420.7385398981323,1.8845500848892698
0:23:40.857385,0:23:41.672326,SPEAKER_02,1420.8573853989815,1421.6723259762311,0.8149405772496721
0:23:43.098472,0:23:47.156197,SPEAKER_02,1423.0984719864177,1427.156196943973,4.057724957555365
0:23:48.242784,0:23:49.533107,SPEAKER_02,1428.2427843803057,1429.533106960951,1.290322580645352
0:23:50.687606,0:23:51.502547,SPEAKER_02,1430.6876061120543,1431.502546689304,0.8149405772496721
0:23:51.502547,0:23:51.621392,SPEAKER_11,1431.502546689304,1431.621392190153,0.11884550084914736
0:23:51.621392,0:23:53.539898,SPEAKER_02,1431.621392190153,1433.5398981324279,1.9185059422748054
0:23:53.930390,0:23:55.662139,SPEAKER_02,1433.93039049236,1435.6621392190154,1.7317487266554963
0:23:56.290323,0:24:00.382003,SPEAKER_02,1436.2903225806454,1440.3820033955858,4.091680814940446
0:24:01.315789,0:24:02.775891,SPEAKER_02,1441.3157894736842,1442.7758913412563,1.4601018675721207
0:24:06.035654,0:24:11.570458,SPEAKER_02,1446.035653650255,1451.570458404075,5.534804753820026
0:24:13.879457,0:24:21.366723,SPEAKER_02,1453.8794567062819,1461.3667232597622,7.487266553480367
0:24:21.994907,0:24:23.064516,SPEAKER_02,1461.9949066213921,1463.0645161290322,1.0696095076400525
0:24:23.370119,0:24:32.079796,SPEAKER_02,1463.370118845501,1472.0797962648558,8.709677419354648
0:24:37.207131,0:24:42.266553,SPEAKER_01,1477.2071307300512,1482.2665534804755,5.059422750424346
0:24:43.556876,0:24:55.305603,SPEAKER_01,1483.5568760611204,1495.3056027164685,11.748726655348037
0:24:56.222411,0:24:57.886248,SPEAKER_01,1496.2224108658743,1497.8862478777592,1.6638370118848798
0:24:59.550085,0:25:02.640068,SPEAKER_12,1499.5500848896436,1502.640067911715,3.089983022071465
0:25:03.217317,0:25:15.135823,SPEAKER_12,1503.2173174872664,1515.1358234295417,11.91850594227526
0:25:17.020374,0:25:29.787776,SPEAKER_07,1517.0203735144314,1529.7877758913414,12.767402376910013
0:25:32.402377,0:25:34.388795,SPEAKER_01,1532.4023769100172,1534.388794567063,1.9864176570458767
0:25:35.831919,0:25:46.205433,SPEAKER_01,1535.8319185059422,1546.2054329371817,10.373514431239528
0:25:47.869270,0:25:49.685908,SPEAKER_01,1547.8692699490662,1549.6859083191853,1.816638370119108
0:25:50.432937,0:25:58.327674,SPEAKER_01,1550.4329371816639,1558.3276740237693,7.894736842105431
0:26:00.229202,0:26:02.351443,SPEAKER_01,1560.2292020373516,1562.3514431239391,2.1222410865875645
0:26:03.913413,0:26:08.633277,SPEAKER_01,1563.9134125636674,1568.6332767402378,4.719864176570354
0:26:09.923599,0:26:15.662139,SPEAKER_01,1569.923599320883,1575.6621392190154,5.738539898132331
0:26:17.682513,0:26:19.108659,SPEAKER_01,1577.6825127334464,1579.1086587436334,1.4261460101870398
0:26:20.382003,0:26:27.580645,SPEAKER_01,1580.3820033955858,1587.5806451612902,7.198641765704451
0:26:29.142615,0:26:30.874363,SPEAKER_01,1589.142614601019,1590.874363327674,1.7317487266550415
0:26:32.758913,0:26:38.769100,SPEAKER_01,1592.7589134125637,1598.7691001697794,6.010186757215706
0:26:40.857385,0:26:46.205433,SPEAKER_01,1600.8573853989815,1606.2054329371817,5.348047538200262
0:26:50.008489,0:26:54.915110,SPEAKER_07,1610.0084889643463,1614.9151103565364,4.906621392190118
