Start,End,Speaker,Start in s,End in s
1761.9949066213921,1764.0831918505942,Helen,0:29:21.994907,0:29:24.083192
1764.677419354839,1770.9762308998302,Helen,0:29:24.677419,0:29:30.976231
1772.249575551783,1775.5093378607812,Helen,0:29:32.249576,0:29:35.509338
1775.7130730050935,1776.6298811544993,Helen,0:29:35.713073,0:29:36.629881
1778.056027164686,1783.4550084889643,Frederic,0:29:38.056027,0:29:43.455008
1783.9643463497455,1796.8675721561972,Frederic,0:29:43.964346,0:29:56.867572
1797.6485568760613,1804.286926994907,Frederic,0:29:57.648557,0:30:04.286927
1802.9456706281835,1803.0475382003397,SPEAKER_11,0:30:02.945671,0:30:03.047538
1804.9830220713075,1809.3463497453313,Frederic,0:30:04.983022,0:30:09.346350
1809.6179966044142,1812.8098471986418,Frederic,0:30:09.617997,0:30:12.809847
1813.7606112054332,1817.9711375212223,Helen,0:30:13.760611,0:30:17.971138
1818.735144312394,1818.803056027165,Ashley,0:30:18.735144,0:30:18.803056
1818.803056027165,1819.0067911714773,Helen,0:30:18.803056,0:30:19.006791
1819.0067911714773,1820.7045840407472,Ashley,0:30:19.006791,0:30:20.704584
1821.230899830221,1824.5585738539899,Ashley,0:30:21.230900,0:30:24.558574
1825.8658743633277,1827.5636672325977,SPEAKER_03,0:30:25.865874,0:30:27.563667
1828.2597623089982,1831.0271646859082,SPEAKER_03,0:30:28.259762,0:30:31.027165
1831.4685908319184,1833.7945670628183,SPEAKER_04,0:30:31.468591,0:30:33.794567
1834.2190152801359,1835.9168081494058,SPEAKER_04,0:30:34.219015,0:30:35.916808
1837.6485568760613,1838.3106960950763,Helen,0:30:37.648557,0:30:38.310696
1838.5823429541597,1842.283531409168,Helen,0:30:38.582343,0:30:42.283531
1843.0475382003397,1846.8505942275042,Frederic,0:30:43.047538,0:30:46.850594
1848.5483870967741,1852.0458404074702,Helen,0:30:48.548387,0:30:52.045840
1852.572156196944,1857.444821731749,Frederic,0:30:52.572156,0:30:57.444822
1858.5993208828522,1860.602716468591,Frank,0:30:58.599321,0:31:00.602716
1860.602716468591,1863.268251273345,Ophelie,0:31:00.602716,0:31:03.268251
1860.823429541596,1862.0288624787777,Frank,0:31:00.823430,0:31:02.028862
1863.1494057724958,1864.0152801358236,Frank,0:31:03.149406,0:31:04.015280
1865.5093378607812,1866.765704584041,Helen,0:31:05.509338,0:31:06.765705
1867.8522920203736,1872.572156196944,Helen,0:31:07.852292,0:31:12.572156
1873.0984719864177,1875.5602716468593,Frederic,0:31:13.098472,0:31:15.560272
1874.8641765704583,1875.9507640067914,Helen,0:31:14.864177,0:31:15.950764
1876.5959252971138,1880.53480475382,Helen,0:31:16.595925,0:31:20.534805
1880.891341256367,1882.3684210526317,Helen,0:31:20.891341,0:31:22.368421
1882.928692699491,1886.1544991511037,Helen,0:31:22.928693,0:31:26.154499
1889.1595925297115,1892.4023769100172,Frederic,0:31:29.159593,0:31:32.402377
1892.572156196944,1894.677419354839,Frederic,0:31:32.572156,0:31:34.677419
1898.0220713073004,1902.3853989813242,Ashley,0:31:38.022071,0:31:42.385399
1902.962648556876,1910.0084889643463,SPEAKER_03,0:31:42.962649,0:31:50.008489
1910.0084889643463,1910.1273344651954,Holly,0:31:50.008489,0:31:50.127334
1910.9592529711376,1915.1358234295417,SPEAKER_04,0:31:50.959253,0:31:55.135823
1916.2054329371817,1917.716468590832,Ophelie,0:31:56.205433,0:31:57.716469
1918.6842105263158,1919.6859083191853,Ophelie,0:31:58.684211,0:31:59.685908
1921.553480475382,1930.7045840407472,Frederic,0:32:01.553480,0:32:10.704584
1933.4550084889643,1937.393887945671,SPEAKER_06,0:32:13.455008,0:32:17.393888
1937.5127334465196,1938.7011884550084,SPEAKER_06,0:32:17.512733,0:32:18.701188
1937.835314091681,1937.9202037351442,SPEAKER_11,0:32:17.835314,0:32:17.920204
1939.2614601018677,1939.7028862478778,SPEAKER_11,0:32:19.261460,0:32:19.702886
1942.2665534804755,1945.6112054329374,Frederic,0:32:22.266553,0:32:25.611205
1946.7317487266555,1950.0933786078099,Ashley,0:32:26.731749,0:32:30.093379
1951.0271646859082,1954.5585738539899,Ashley,0:32:31.027165,0:32:34.558574
1956.8336162988116,1958.786078098472,SPEAKER_03,0:32:36.833616,0:32:38.786078
1959.3972835314094,1965.8828522920203,SPEAKER_03,0:32:39.397284,0:32:45.882852
1966.69779286927,1969.2444821731751,SPEAKER_03,0:32:46.697793,0:32:49.244482
1969.5840407470291,1974.1001697792872,SPEAKER_03,0:32:49.584041,0:32:54.100170
1974.3548387096776,1975.5602716468593,SPEAKER_03,0:32:54.354839,0:32:55.560272
1976.086587436333,1978.6502546689303,Ophelie,0:32:56.086587,0:32:58.650255
1979.091680814941,1982.23259762309,Ophelie,0:32:59.091681,0:33:02.232598
1983.7266553480476,1994.320882852292,SPEAKER_04,0:33:03.726655,0:33:14.320883
1995.679117147708,1999.2105263157896,SPEAKER_04,0:33:15.679117,0:33:19.210526
2000.942275042445,2010.2971137521222,SPEAKER_06,0:33:20.942275,0:33:30.297114
2011.3327674023772,2018.3276740237693,SPEAKER_00,0:33:31.332767,0:33:38.327674
2019.5500848896436,2021.570458404075,SPEAKER_00,0:33:39.550085,0:33:41.570458
2023.3870967741937,2027.6146010186758,Frank,0:33:43.387097,0:33:47.614601
2029.0067911714773,2034.7962648556877,Frank,0:33:49.006791,0:33:54.796265
2038.7011884550084,2042.0967741935483,Helen,0:33:58.701188,0:34:02.096774
2042.623089983022,2047.818336162988,Helen,0:34:02.623090,0:34:07.818336
2049.6349745331067,2054.762308998302,Helen,0:34:09.634975,0:34:14.762309
2055.679117147708,2060.1782682512735,Helen,0:34:15.679117,0:34:20.178268
2060.5008488964345,2063.3870967741937,Helen,0:34:20.500849,0:34:23.387097
2064.830220713073,2077.9032258064517,Narrator,0:34:24.830221,0:34:37.903226
2078.9898132427843,2101.6893039049237,Narrator,0:34:38.989813,0:35:01.689304
2101.8251273344654,2105.5432937181663,Narrator,0:35:01.825127,0:35:05.543294
2106.6638370118844,2116.69779286927,Narrator,0:35:06.663837,0:35:16.697793
2118.1409168081495,2139.6010186757217,Narrator,0:35:18.140917,0:35:39.601019
2141.994906621392,2145.6451612903224,Frederic,0:35:41.994907,0:35:45.645161
2145.9507640067914,2148.6332767402378,Frederic,0:35:45.950764,0:35:48.633277
2150.042444821732,2161.6893039049237,Frederic,0:35:50.042445,0:36:01.689304
2163.064516129032,2171.112054329372,Frederic,0:36:03.064516,0:36:11.112054
2171.213921901528,2174.3378607809846,Frederic,0:36:11.213922,0:36:14.337861
2175.577249575552,2181.6893039049237,Helen,0:36:15.577250,0:36:21.689304
2183.1663837011884,2199.0067911714773,Frederic,0:36:23.166384,0:36:39.006791
2199.8726655348046,2202.6061120543295,Frederic,0:36:39.872666,0:36:42.606112
2203.74363327674,2209.702886247878,Frederic,0:36:43.743633,0:36:49.702886
2211.7062818336162,2231.79117147708,Narrator,0:36:51.706282,0:37:11.791171
2232.7928692699493,2235.780984719864,Narrator,0:37:12.792869,0:37:15.780985
2236.646859083192,2257.2410865874363,Narrator,0:37:16.646859,0:37:37.241087
2259.0577249575554,2268.344651952462,Frederic,0:37:39.057725,0:37:48.344652
2269.27843803056,2279.4821731748725,Narrator,0:37:49.278438,0:37:59.482173
2280.3650254668933,2282.130730050934,Narrator,0:38:00.365025,0:38:02.130730
2283.1154499151103,2283.981324278438,Narrator,0:38:03.115450,0:38:03.981324
2284.320882852292,2287.9032258064517,Narrator,0:38:04.320883,0:38:07.903226
2288.005093378608,2295.1358234295417,Narrator,0:38:08.005093,0:38:15.135823
2295.967741935484,2304.609507640068,Narrator,0:38:15.967742,0:38:24.609508
2304.6774193548385,2304.9830220713075,Narrator,0:38:24.677419,0:38:24.983022
2305.3225806451615,2310.9932088285227,Narrator,0:38:25.322581,0:38:30.993209
2311.6383701188456,2312.5382003395584,Narrator,0:38:31.638370,0:38:32.538200
2313.6078098471985,2314.3548387096776,Narrator,0:38:33.607810,0:38:34.354839
2316.5280135823427,2320.823429541596,Narrator,0:38:36.528014,0:38:40.823430
2321.8760611205435,2324.0152801358236,Narrator,0:38:41.876061,0:38:44.015280
2325.4753820033957,2327.088285229202,Narrator,0:38:45.475382,0:38:47.088285
2328.2427843803057,2330.53480475382,Narrator,0:38:48.242784,0:38:50.534805
2331.9269949066215,2336.850594227504,Narrator,0:38:51.926995,0:38:56.850594
2338.6502546689303,2342.7928692699493,Narrator,0:38:58.650255,0:39:02.792869
2345.3565365025465,2349.227504244482,Narrator,0:39:05.356537,0:39:09.227504
2350.0084889643463,2353.8455008488963,Narrator,0:39:10.008489,0:39:13.845501
2355.44142614601,2359.9405772495757,Narrator,0:39:15.441426,0:39:19.940577
2362.4533106960953,2366.9185059422753,Helen,0:39:22.453311,0:39:26.918506
2367.5976230899832,2369.02376910017,Helen,0:39:27.597623,0:39:29.023769
2369.4821731748725,2372.7928692699493,Helen,0:39:29.482173,0:39:32.792869
2373.0305602716467,2374.1511035653652,Helen,0:39:33.030560,0:39:34.151104
2375.577249575552,2383.3870967741937,Helen,0:39:35.577250,0:39:43.387097
2384.1850594227503,2386.4431239388796,Helen,0:39:44.185059,0:39:46.443124
2387.7334465195245,2390.195246179966,Narrator,0:39:47.733447,0:39:50.195246
2390.9422750424446,2404.0662139219016,Narrator,0:39:50.942275,0:40:04.066214
2404.5246179966043,2407.4448217317486,Narrator,0:40:04.524618,0:40:07.444822
2408.1409168081495,2412.623089983022,Narrator,0:40:08.140917,0:40:12.623090
2414.4567062818337,2422.9966044142616,Frederic,0:40:14.456706,0:40:22.996604
2424.1001697792867,2429.5840407470287,Frederic,0:40:24.100170,0:40:29.584041
2431.16298811545,2440.5008488964345,Narrator,0:40:31.162988,0:40:40.500849
2442.0967741935483,2449.9235993208827,Narrator,0:40:42.096774,0:40:49.923599
2451.2818336162986,2455.730050933786,Narrator,0:40:51.281834,0:40:55.730051
2457.0543293718165,2460.6536502546687,Narrator,0:40:57.054329,0:41:00.653650
2460.9422750424446,2465.5263157894738,Narrator,0:41:00.942275,0:41:05.526316
